x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-84.0000E-09,+859.2337444425E-03,+674.2210878292E-03,+683.2663138630E-03,+670.7287691534E-03,+9.0313290152E-03
-83.5000E-09,+859.2337444425E-03,+676.4823943377E-03,+678.4924445674E-03,+670.7287691534E-03,+2.0000789104E-03
-83.0000E-09,+859.2337444425E-03,+673.4673189931E-03,+679.2462134035E-03,+643.0905784946E-03,+6.0161922515E-03
-82.5000E-09,+859.2337444425E-03,+672.4622938782E-03,+680.5024947971E-03,+660.6785180047E-03,+8.0303524378E-03
-82.0000E-09,+889.3844978884E-03,+678.2411882887E-03,+680.5024947971E-03,+670.7287691534E-03,+2.0000789104E-03
-81.5000E-09,+929.5855024830E-03,+680.5024947971E-03,+680.5024947971E-03,+670.7287691534E-03,-1.8742444E-06
-81.0000E-09,+939.6357536316E-03,+671.4572687633E-03,+677.4874194525E-03,+670.7287691534E-03,+6.0161922515E-03
-80.5000E-09,+911.9975629728E-03,+671.2060124846E-03,+685.2763640927E-03,+670.7287691534E-03,+14.0484189337E-03
-80.0000E-09,+899.4347490370E-03,+675.2261129441E-03,+682.5125450268E-03,+670.7287691534E-03,+7.0171688290E-03
-79.5000E-09,+871.7965583783E-03,+679.2462134035E-03,+677.4874194525E-03,+643.0905784946E-03,-2.0160344307E-03
-79.0000E-09,+889.3844978884E-03,+674.4723441079E-03,+682.2612887481E-03,+660.6785180047E-03,+8.0181454064E-03
-78.5000E-09,+899.4347490370E-03,+681.2562636333E-03,+684.5225952566E-03,+670.7287691534E-03,+3.0010554879E-03
-78.0000E-09,+871.7965583783E-03,+681.5075199120E-03,+678.4924445674E-03,+670.7287691534E-03,-3.0170110081E-03
-77.5000E-09,+859.2337444425E-03,+677.4874194525E-03,+673.4673189931E-03,+670.7287691534E-03,-4.0179875855E-03
-77.0000E-09,+859.2337444425E-03,+673.4673189931E-03,+675.2261129441E-03,+670.7287691534E-03,+2.0000789104E-03
-76.5000E-09,+889.3844978884E-03,+675.2261129441E-03,+676.4823943377E-03,+643.0905784946E-03,+999.1023330E-06
-76.0000E-09,+871.7965583783E-03,+673.4673189931E-03,+670.4522436485E-03,+660.6785180047E-03,-3.0170110081E-03
-75.5000E-09,+889.3844978884E-03,+672.4622938782E-03,+674.2210878292E-03,+670.7287691534E-03,+2.0000789104E-03
-75.0000E-09,+899.4347490370E-03,+669.4472185336E-03,+682.2612887481E-03,+643.0905784946E-03,+13.0474423563E-03
-74.5000E-09,+899.4347490370E-03,+677.2361631738E-03,+681.5075199120E-03,+660.6785180047E-03,+4.0142390967E-03
-74.0000E-09,+929.5855024830E-03,+680.5024947971E-03,+680.5024947971E-03,+670.7287691534E-03,-1.8742444E-06
-73.5000E-09,+939.6357536316E-03,+674.4723441079E-03,+683.2663138630E-03,+670.7287691534E-03,+9.0313290152E-03
-73.0000E-09,+881.8468095269E-03,+678.2411882887E-03,+678.4924445674E-03,+643.0905784946E-03,-1.8742444E-06
-72.5000E-09,+889.3844978884E-03,+683.2663138630E-03,+676.4823943377E-03,+660.6785180047E-03,-7.0331243492E-03
-72.0000E-09,+899.4347490370E-03,+678.4924445674E-03,+679.2462134035E-03,+670.7287691534E-03,+999.1023330E-06
-71.5000E-09,+899.4347490370E-03,+673.4673189931E-03,+683.2663138630E-03,+670.7287691534E-03,+10.0323055926E-03
-71.0000E-09,+871.7965583783E-03,+675.2261129441E-03,+675.4773692228E-03,+670.7287691534E-03,-1.8742444E-06
-70.5000E-09,+859.2337444425E-03,+676.4823943377E-03,+675.2261129441E-03,+670.7287691534E-03,-1.0150578532E-03
-70.0000E-09,+889.3844978884E-03,+670.4522436485E-03,+676.4823943377E-03,+670.7287691534E-03,+6.0161922515E-03
-69.5000E-09,+899.4347490370E-03,+674.2210878292E-03,+679.2462134035E-03,+643.0905784946E-03,+5.0152156741E-03
-69.0000E-09,+899.4347490370E-03,+673.4673189931E-03,+674.4723441079E-03,+660.6785180047E-03,+999.1023330E-06
-68.5000E-09,+871.7965583783E-03,+675.2261129441E-03,+675.2261129441E-03,+670.7287691534E-03,-1.8742444E-06
-68.0000E-09,+859.2337444425E-03,+670.4522436485E-03,+676.4823943377E-03,+643.0905784946E-03,+6.0161922515E-03
-67.5000E-09,+919.5352513343E-03,+668.4421934187E-03,+679.2462134035E-03,+660.6785180047E-03,+11.0332821700E-03
-67.0000E-09,+911.9975629728E-03,+668.4421934187E-03,+677.4874194525E-03,+670.7287691534E-03,+9.0313290152E-03
-66.5000E-09,+899.4347490370E-03,+668.4421934187E-03,+673.4673189931E-03,+670.7287691534E-03,+5.0152156741E-03
-66.0000E-09,+899.4347490370E-03,+665.4271180741E-03,+675.2261129441E-03,+670.7287691534E-03,+10.0323055926E-03
-65.5000E-09,+899.4347490370E-03,+667.1859120252E-03,+673.4673189931E-03,+670.7287691534E-03,+6.0161922515E-03
-65.0000E-09,+899.4347490370E-03,+665.4271180741E-03,+672.4622938782E-03,+670.7287691534E-03,+7.0171688290E-03
-64.5000E-09,+899.4347490370E-03,+667.1859120252E-03,+675.2261129441E-03,+643.0905784946E-03,+8.0303524378E-03
-64.0000E-09,+871.7965583783E-03,+668.4421934187E-03,+679.2462134035E-03,+660.6785180047E-03,+11.0332821700E-03
-63.5000E-09,+889.3844978884E-03,+671.2060124846E-03,+677.4874194525E-03,+670.7287691534E-03,+6.0161922515E-03
-63.0000E-09,+871.7965583783E-03,+675.2261129441E-03,+670.4522436485E-03,+670.7287691534E-03,-5.0311711943E-03
-62.5000E-09,+859.2337444425E-03,+676.4823943377E-03,+677.2361631738E-03,+643.0905784946E-03,+999.1023330E-06
-62.0000E-09,+859.2337444425E-03,+676.4823943377E-03,+680.5024947971E-03,+630.5277645588E-03,+4.0142390967E-03
-61.5000E-09,+889.3844978884E-03,+676.4823943377E-03,+680.5024947971E-03,+630.5277645588E-03,+4.0142390967E-03
-61.0000E-09,+899.4347490370E-03,+670.4522436485E-03,+674.4723441079E-03,+630.5277645588E-03,+4.0142390967E-03
-60.5000E-09,+871.7965583783E-03,+671.2060124846E-03,+678.2411882887E-03,+630.5277645588E-03,+7.0171688290E-03
-60.0000E-09,+859.2337444425E-03,+669.4472185336E-03,+680.5024947971E-03,+660.6785180047E-03,+11.0332821700E-03
-59.5000E-09,+919.5352513343E-03,+674.2210878292E-03,+677.4874194525E-03,+670.7287691534E-03,+3.0010554879E-03
-59.0000E-09,+911.9975629728E-03,+673.4673189931E-03,+679.2462134035E-03,+670.7287691534E-03,+6.0161922515E-03
-58.5000E-09,+899.4347490370E-03,+672.4622938782E-03,+677.4874194525E-03,+670.7287691534E-03,+5.0152156741E-03
-58.0000E-09,+899.4347490370E-03,+672.4622938782E-03,+676.4823943377E-03,+670.7287691534E-03,+4.0142390967E-03
-57.5000E-09,+899.4347490370E-03,+672.4622938782E-03,+676.4823943377E-03,+643.0905784946E-03,+4.0142390967E-03
-57.0000E-09,+899.4347490370E-03,+672.4622938782E-03,+670.4522436485E-03,+630.5277645588E-03,-2.0160344307E-03
-56.5000E-09,+929.5855024830E-03,+666.4321431890E-03,+674.2210878292E-03,+630.5277645588E-03,+8.0181454064E-03
-56.0000E-09,+911.9975629728E-03,+670.2009873698E-03,+676.4823943377E-03,+630.5277645588E-03,+6.0161922515E-03
-55.5000E-09,+899.4347490370E-03,+666.4321431890E-03,+673.4673189931E-03,+660.6785180047E-03,+7.0171688290E-03
-55.0000E-09,+871.7965583783E-03,+667.1859120252E-03,+675.2261129441E-03,+643.0905784946E-03,+8.0303524378E-03
-54.5000E-09,+859.2337444425E-03,+671.2060124846E-03,+682.2612887481E-03,+660.6785180047E-03,+11.0332821700E-03
-54.0000E-09,+859.2337444425E-03,+669.4472185336E-03,+687.2864143224E-03,+670.7287691534E-03,+18.0645322748E-03
-53.5000E-09,+859.2337444425E-03,+674.2210878292E-03,+685.5276203714E-03,+670.7287691534E-03,+11.0332821700E-03
-53.0000E-09,+889.3844978884E-03,+676.4823943377E-03,+681.5075199120E-03,+670.7287691534E-03,+5.0152156741E-03
-52.5000E-09,+871.7965583783E-03,+679.2462134035E-03,+683.2663138630E-03,+670.7287691534E-03,+4.0142390967E-03
-52.0000E-09,+859.2337444425E-03,+677.4874194525E-03,+678.4924445674E-03,+670.7287691534E-03,+999.1023330E-06
-51.5000E-09,+919.5352513343E-03,+676.4823943377E-03,+673.4673189931E-03,+670.7287691534E-03,-3.0170110081E-03
-51.0000E-09,+939.6357536316E-03,+676.4823943377E-03,+675.2261129441E-03,+670.7287691534E-03,-1.0150578532E-03
-50.5000E-09,+939.6357536316E-03,+670.4522436485E-03,+676.4823943377E-03,+670.7287691534E-03,+6.0161922515E-03
-50.0000E-09,+911.9975629728E-03,+668.4421934187E-03,+676.4823943377E-03,+643.0905784946E-03,+8.0303524378E-03
-49.5000E-09,+929.5855024830E-03,+677.2361631738E-03,+676.4823943377E-03,+630.5277645588E-03,-1.0150578532E-03
-49.0000E-09,+911.9975629728E-03,+674.4723441079E-03,+676.4823943377E-03,+660.6785180047E-03,+2.0000789104E-03
-48.5000E-09,+929.5855024830E-03,+669.4472185336E-03,+679.2462134035E-03,+670.7287691534E-03,+10.0323055926E-03
-48.0000E-09,+881.8468095269E-03,+671.2060124846E-03,+677.4874194525E-03,+670.7287691534E-03,+6.0161922515E-03
-47.5000E-09,+889.3844978884E-03,+672.4622938782E-03,+670.4522436485E-03,+643.0905784946E-03,-2.0160344307E-03
